feature,importance
balls_elapsed,111.02554279007018
runs_so_far,80.17908527608961
venue_season_rpb_volatility,74.61614281218499
over,73.29148231446743
momentum_differential,44.009372374139275
wickets_so_far,33.616459688171744
pressure_index,29.14285345375538
batsman_career_balls,29.07633199542761
bowler_career_balls,28.15389165468514
run_rate_pressure,26.90978518128395
venue_season_boundary_rate,24.459357807412744
current_run_rate,24.327988946810365
required_run_rate,23.606549687683582
batsman_rpb_ema_long,22.829055454581976
venue_evolution_runs,20.19957507448271
rr_acceleration,19.30334755219519
partnership_stability,17.397728208452463
bowler_maturity,16.629794872365892
venue_season_avg_rpb,14.723054774105549
venue_season_wicket_rate,14.66785041440744
venue_evolution_wickets,13.952105511911213
batsman_dot_pct_ema_medium,11.619807228446007
bowler_econ_ema_long,10.051438702925225
batsman_maturity,9.794498430565
balls_remaining,9.787498503923416
bowler_wicket_rate_ema_medium,9.353237616829574
runs_last_5_overs,9.192096406593919
wickets_last_3_overs,8.935891631990671
batsman_boundary_pct_ema_medium,8.906613839790225
batsman_rpb_ema_medium,8.555999962612987
runs_last_3_overs,8.539584469050169
bowler_econ_ema_medium,8.341245912015438
batsman_dot_pct_ema_short,8.296295867301524
bowler_dot_pct_ema_medium,8.240790694083444
batsman_rpb_ema_short,8.07704160362482
dots_last_10_balls,7.602506808936596
ball_in_over,7.150287453085184
bowler_dot_pct_ema_short,6.71749310020823
wickets_remaining,6.627850845456123
partnership_run_rate,6.526823938071175
bowler_econ_ema_short,6.1651649018749595
bowler_wicket_rate_ema_short,5.1153167597949505
batsman_boundary_pct_ema_short,4.957435719668865
is_modern_cricket,4.731360051780939
rr_last_3_overs,4.222420983016491
boundaries_last_10_balls,3.3837598878890276
bowler_overs_bowled,2.5920076109468937
rr_last_5_overs,2.395977698266506
batsman_sr_ema_medium,2.0834495425224304
inning,1.7679819911718369
batsman_sr_ema_long,1.4809166975319386
batsman_sr_ema_short,0.7420456111431122
bowler_form_score,0.2653355039656162
batsman_days_since_last_match,0.22203099727630615
batsman_form_score,0.14147410169243813
late_in_over,0.12833870016038418
batsman_rest_quality,0.10594099760055542
bowler_workload_30d,0.08016440272331238
bowler_rest_quality,0.03398989886045456
batsman_workload_30d,0.0
is_powerplay,0.0
is_middle_over,0.0
is_death_over,0.0
bowler_days_since_last_match,0.0
bowler_is_fatigued,0.0
batsman_is_settled,0.0
