feature,importance
over,16186.178733024746
balls_elapsed,4817.2925092205405
pressure_index,991.552468944341
wickets_so_far,660.8108171783388
runs_so_far,631.7147381007671
balls_remaining,439.98023921996355
required_run_rate,437.37576492130756
inning,378.0349806547165
ball_in_over,374.5123373133829
run_rate_pressure,353.3428709618747
venue_season_avg_rpb,349.9788697215263
momentum_differential,265.659535638988
venue_season_boundary_rate,207.61149832978845
venue_season_rpb_volatility,183.24452805891633
bowler_career_balls,158.65724077273626
batsman_career_balls,156.7813258152455
wickets_remaining,138.02123787999153
venue_evolution_runs,129.68504646141082
venue_season_wicket_rate,123.65264543315539
rr_acceleration,122.6458338983357
wickets_last_3_overs,118.09710419923067
current_run_rate,111.44335051625967
partnership_stability,100.01454761973582
venue_evolution_wickets,93.95052428543568
batsman_rpb_ema_long,87.29088096728083
bowler_maturity,74.25065734656528
runs_last_5_overs,70.86625727266073
partnership_run_rate,55.657503065653145
batsman_dot_pct_ema_medium,54.57953502982855
bowler_wicket_rate_ema_medium,50.05468359729275
runs_last_3_overs,47.19906957820058
bowler_econ_ema_long,47.105988710187376
bowler_wicket_rate_ema_short,45.829753608908504
batsman_maturity,43.91184159182012
is_modern_cricket,35.32571816444397
batsman_boundary_pct_ema_medium,29.660605810582638
bowler_dot_pct_ema_medium,28.984579914133064
bowler_dot_pct_ema_short,28.59489580988884
bowler_econ_ema_short,27.629421933554113
bowler_overs_bowled,27.231763910502195
boundaries_last_10_balls,25.984407113865018
dots_last_10_balls,23.60195204988122
batsman_rpb_ema_medium,23.31568189524114
rr_last_5_overs,22.792405664920807
bowler_econ_ema_medium,21.865974012762308
batsman_dot_pct_ema_short,21.670917078852654
batsman_rpb_ema_short,21.187019956414588
batsman_boundary_pct_ema_short,20.763344902545214
batsman_sr_ema_long,20.74734497629106
late_in_over,15.552835121750832
rr_last_3_overs,11.928853213787079
batsman_form_score,5.364616006612778
batsman_is_settled,4.010609015822411
is_middle_over,1.6552000641822815
batsman_sr_ema_short,1.275948017835617
batsman_sr_ema_medium,1.1402341397479177
is_death_over,1.1167399883270264
bowler_form_score,0.9507400244474411
batsman_workload_30d,0.0
bowler_workload_30d,0.0
batsman_rest_quality,0.0
bowler_rest_quality,0.0
bowler_days_since_last_match,0.0
batsman_days_since_last_match,0.0
is_powerplay,0.0
bowler_is_fatigued,0.0
