feature,importance
over,32997.3579762876
balls_elapsed,12473.356482595205
balls_remaining,1212.244281630963
pressure_index,1205.176627960056
run_rate_pressure,1164.6837313398719
batsman_career_balls,1088.9953465275466
wickets_so_far,589.8637991026044
required_run_rate,431.0123929530382
inning,307.35259252786636
venue_season_avg_rpb,305.79699608823285
venue_season_wicket_rate,299.7531809732318
momentum_differential,296.99884836375713
batsman_maturity,249.1309237666428
batsman_rpb_ema_long,242.32324082683772
ball_in_over,240.1064673103392
venue_evolution_runs,216.90684600174427
batsman_boundary_pct_ema_medium,184.81823032349348
venue_season_boundary_rate,183.07036244496703
venue_evolution_wickets,168.93859462440014
venue_season_rpb_volatility,168.2551915626973
is_death_over,158.44725465774536
runs_so_far,140.12077413499355
current_run_rate,139.97994070127606
partnership_run_rate,128.8643738925457
batsman_dot_pct_ema_medium,115.31906552240252
bowler_career_balls,113.44534347206354
partnership_stability,109.58407451212406
wickets_last_3_overs,105.39057648181915
rr_acceleration,103.18314392119646
batsman_rpb_ema_medium,101.6790619790554
bowler_wicket_rate_ema_medium,98.04891171492636
bowler_dot_pct_ema_medium,97.33335617627017
wickets_remaining,96.67448350787163
bowler_econ_ema_long,81.84833502024412
batsman_dot_pct_ema_short,80.75091260671616
batsman_boundary_pct_ema_short,78.16416561603546
bowler_maturity,69.28408579528332
runs_last_5_overs,64.7423271164298
bowler_econ_ema_medium,61.20964306592941
bowler_wicket_rate_ema_short,59.58399165049195
batsman_sr_ema_long,48.49429500102997
bowler_dot_pct_ema_short,44.36962798982859
runs_last_3_overs,41.76128023862839
is_modern_cricket,41.18019896745682
late_in_over,39.65642207860947
bowler_econ_ema_short,33.0114605166018
batsman_is_settled,30.58713474869728
batsman_rpb_ema_short,28.922207105904818
dots_last_10_balls,22.23139989376068
rr_last_5_overs,21.419604070484638
bowler_overs_bowled,16.44563800096512
rr_last_3_overs,14.611988194286823
batsman_sr_ema_medium,10.010778084397316
batsman_sr_ema_short,8.512045055627823
boundaries_last_10_balls,8.057093977928162
is_middle_over,4.4027599692344666
batsman_form_score,0.8018180131912231
bowler_is_fatigued,0.7230610251426697
batsman_days_since_last_match,0.19141199439764023
batsman_rest_quality,0.09418769925832748
bowler_form_score,0.0
bowler_workload_30d,0.0
bowler_days_since_last_match,0.0
is_powerplay,0.0
batsman_workload_30d,0.0
bowler_rest_quality,0.0
